Id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
172,29,Male,Bachelor's,Junior Marketing Coordinator,2,40000
174,43,Male,Bachelor's,Senior Project Manager,16,140000
175,26,Female,Master's,Junior Data Scientist,1.5,45000
176,35,Male,Bachelor's,Senior Operations Analyst,7,85000
177,42,Female,PhD,Senior Marketing Manager,18,140000
178,31,Male,Bachelor's,Junior Accountant,4,50000
179,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000
180,46,Male,Master's,Director of Operations,20,170000
181,29,Female,Bachelor's,Junior Sales Representative,2,40000
182,37,Male,Master's,Senior Business Analyst,9,105000
183,44,Female,PhD,Senior UX Designer,15,145000
184,27,Male,Bachelor's,Junior Product Manager,2,40000
185,36,Female,Bachelor's,Senior Marketing Specialist,8,85000
186,43,Male,Bachelor's,Senior IT Project Manager,14,130000
187,33,Female,Master's,Senior Financial Analyst,6,95000
188,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000
189,50,Female,PhD,Director of Sales and Marketing,22,180000
190,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000
191,39,Female,Bachelor's,Senior Account Executive,12,95000
192,47,Male,Master's,Director of Business Development,19,170000
193,30,Female,Bachelor's,Junior Social Media Manager,3,45000
194,34,Male,Bachelor's,Senior Product Manager,7,95000
195,40,Female,Master's,Senior Human Resources Specialist,13,120000
196,28,Male,Bachelor's,Junior Business Analyst,2,40000
197,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000
198,45,Male,PhD,Senior Data Analyst,17,155000
199,32,Female,Bachelor's,Junior Account Manager,5,55000
200,35,Male,Master's,Senior Software Developer,9,110000
201,49,Female,Master's,Director of Human Capital,21,180000
202,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000
203,44,Male,Bachelor's,Senior Sales Manager,16,130000
204,27,Female,Master's,Junior UX Designer,1.5,45000
205,36,Male,Bachelor's,Senior Accountant,7,90000
206,41,Female,PhD,Senior Marketing Director,17,160000
207,31,Male,Bachelor's,Junior HR Generalist,4,50000
208,39,Female,Bachelor's,Senior Operations Manager,10,120000
209,47,Male,Master's,Director of Finance,20,170000
210,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000
211,38,Male,Master's,Senior IT Consultant,9,110000
212,45,Female,PhD,Senior Product Designer,15,150000
213,28,Male,Bachelor's,Junior Business Development Associate,2,40000
214,35,Female,Bachelor's,Senior Marketing Analyst,8,85000
215,44,Male,Bachelor's,Senior Software Engineer,14,130000
216,34,Female,Master's,Senior Financial Advisor,6,100000
217,35,Male,Bachelor's,Senior Project Coordinator,9,95000
218,50,Female,PhD,Director of Operations,22,180000
219,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000
220,40,Female,Bachelor's,Senior Sales Representative,12,100000
221,48,Male,Master's,Director of Marketing,19,170000
222,31,Female,Bachelor's,Junior Social Media Specialist,3,45000
223,33,Male,Bachelor's,Senior Product Development Manager,7,100000
224,42,Female,Master's,Senior Human Resources Manager,13,140000
225,28,Male,Bachelor's,Junior Financial Analyst,2,40000
226,40,Female,Bachelor's,Senior Marketing Manager,11,105000
227,46,Male,PhD,Senior Data Scientist,18,160000
228,33,Female,Bachelor's,Junior Operations Manager,5,70000
229,37,Male,Master's,Senior Software Architect,9,120000
230,51,Female,Master's,Director of Human Resources,21,190000
231,30,Male,Bachelor's,Junior Marketing Specialist,3,45000
232,43,Male,Bachelor's,Senior Project Manager,15,120000
233,27,Female,Master's,Junior Research Scientist,1.5,50000
234,35,Male,Bachelor's,Senior Operations Analyst,8,85000
235,42,Female,PhD,Senior Marketing Manager,13,140000
236,32,Male,Bachelor's,Junior Sales Representative,3,45000
237,37,Female,Bachelor's,Senior Financial Analyst,9,100000
238,45,Male,Master's,Senior Software Developer,16,140000
239,33,Female,Bachelor's,Junior Operations Analyst,5,70000
240,39,Male,Bachelor's,Senior Marketing Specialist,10,120000
241,44,Female,PhD,Senior HR Manager,18,160000
242,29,Male,Bachelor's,Junior Business Analyst,1.5,40000
243,38,Female,Bachelor's,Senior Product Manager,10,120000
244,46,Male,PhD,Senior Data Analyst,19,150000
245,34,Female,Bachelor's,Junior Marketing Analyst,6,70000
246,36,Male,Bachelor's,Senior Operations Manager,8,95000
247,49,Female,Master's,Director of Marketing,21,180000
248,31,Male,Bachelor's,Junior Financial Analyst,3,50000
249,41,Female,Bachelor's,Senior Project Coordinator,11,95000
250,47,Male,Master's,Director of Operations,20,170000
251,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000
252,38,Male,Master's,Senior IT Consultant,9,110000
253,45,Female,PhD,Senior Product Designer,15,150000
254,28,Male,Bachelor's,Junior Business Development Associate,2,40000
255,35,Female,Bachelor's,Senior Marketing Analyst,8,85000
256,44,Male,Bachelor's,Senior Software Engineer,14,130000
257,34,Female,Master's,Senior Financial Advisor,6,100000
258,35,Male,Bachelor's,Senior Project Coordinator,9,95000
259,50,Female,PhD,Director of Operations,22,180000
260,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350
262,37,Female,Bachelor's,Senior Financial Manager,10,120000
263,46,Male,PhD,Senior Data Scientist,18,160000
264,31,Female,Bachelor's,Junior Marketing Coordinator,3,50000
265,42,Male,Bachelor's,Senior Operations Manager,12,110000
266,29,Female,Bachelor's,Junior Sales Representative,1.5,40000
267,36,Male,Bachelor's,Senior Marketing Specialist,8,95000
268,44,Female,Master's,Senior HR Specialist,15,140000
269,33,Male,Bachelor's,Junior Operations Manager,4,60000
270,39,Female,Bachelor's,Senior Marketing Coordinator,9,110000
271,45,Male,PhD,Senior Data Engineer,16,150000
272,32,Female,Bachelor's,Junior Marketing Manager,4,60000
273,37,Male,Bachelor's,Senior Financial Analyst,8,90000
274,47,Female,Master's,Director of Marketing,20,180000
275,30,Male,Bachelor's,Junior Business Analyst,2,40000
276,38,Female,Bachelor's,Senior Project Manager,9,120000
277,46,Male,PhD,Senior Data Analyst,17,160000
278,34,Female,Bachelor's,Junior Financial Analyst,5,70000
279,36,Male,Bachelor's,Senior Product Manager,8,95000
280,49,Female,Master's,Director of Operations,21,180000
281,31,Male,Bachelor's,Junior Operations Analyst,3,50000
282,41,Female,Bachelor's,Senior Project Coordinator,11,95000
283,47,Male,Master's,Director of Marketing,19,170000
284,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000
285,35,Male,Bachelor's,Senior Financial Manager,9,100000
286,44,Female,PhD,Senior Product Designer,15,150000
287,33,Male,Bachelor's,Junior Business Analyst,4,60000
288,35,Female,Bachelor's,Senior Marketing Analyst,8,85000
289,44,Male,Bachelor's,Senior Software Engineer,13,130000
290,32,Male,Bachelor's,Junior Product Manager,4,65000
291,38,Female,Bachelor's,Senior Business Analyst,10,110000
292,49,Male,PhD,Director of Operations,21,180000
293,29,Female,Bachelor's,Junior Marketing Specialist,2,40000
294,35,Male,Bachelor's,Senior Business Development Manager,7,90000
295,45,Female,Master's,Senior HR Manager,14,140000
296,33,Male,Bachelor's,Junior Financial Analyst,4,60000
297,40,Female,Bachelor's,Senior Marketing Manager,12,130000
298,44,Male,PhD,Senior Data Scientist,16,160000
299,30,Female,Bachelor's,Junior Operations Coordinator,2,40000
300,37,Male,Bachelor's,Senior Marketing Analyst,9,100000
301,48,Female,Master's,Director of HR,20,180000
302,31,Male,Bachelor's,Junior Project Manager,3,55000
303,38,Female,Bachelor's,Senior Operations Coordinator,9,120000
304,45,Male,PhD,Senior Data Engineer,16,150000
305,33,Female,Bachelor's,Junior Marketing Manager,5,70000
306,36,Male,Bachelor's,Senior Business Analyst,8,95000
307,49,Female,Master's,Director of Marketing,21,180000
308,31,Male,Bachelor's,Junior Operations Analyst,3,50000
309,42,Female,Bachelor's,Senior Project Manager,12,120000
310,47,Male,Master's,Director of Marketing,19,170000
311,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000
312,35,Male,Bachelor's,Senior Financial Manager,9,100000
313,44,Female,PhD,Senior Product Designer,15,150000
314,33,Male,Bachelor's,Junior Business Analyst,4,60000
315,35,Female,Bachelor's,Senior Marketing Analyst,8,85000
316,44,Male,Bachelor's,Senior Software Engineer,13,130000
317,34,Female,Master's,Senior Financial Advisor,6,80000
318,36,Male,Bachelor's,Senior Marketing Specialist,8,95000
319,30,Female,Bachelor's,Junior HR Coordinator,2,40000
320,37,Male,Bachelor's,Senior Business Development Manager,10,120000
321,45,Female,Master's,Senior Marketing Manager,16,160000
322,32,Male,Bachelor's,Junior Financial Advisor,4,65000
323,39,Female,Bachelor's,Senior Project Manager,12,130000
324,47,Male,PhD,Director of Engineering,20,180000
325,29,Female,Bachelor's,Junior Marketing Analyst,2,40000
326,36,Male,Bachelor's,Senior Operations Manager,9,100000
327,43,Female,PhD,Senior Data Scientist,15,150000
328,32,Male,Bachelor's,Junior Marketing Coordinator,3,55000
329,38,Female,Bachelor's,Senior Business Analyst,10,110000
330,48,Male,Master's,Director of Marketing,21,180000
331,31,Female,Bachelor's,Junior Business Development Associate,3,50000
332,40,Male,Bachelor's,Senior Financial Analyst,12,130000
333,45,Female,PhD,Senior UX Designer,16,160000
334,33,Male,Bachelor's,Junior Product Manager,4,60000
335,36,Female,Bachelor's,Senior Marketing Manager,8,95000
336,47,Male,Master's,Director of Operations,19,170000
337,29,Female,Bachelor's,Junior Project Manager,2,40000
338,34,Male,Bachelor's,Senior Operations Coordinator,7,90000
339,44,Female,PhD,Senior Business Analyst,15,150000
340,33,Male,Bachelor's,Junior Marketing Specialist,5,70000
341,35,Female,Bachelor's,Senior Financial Manager,8,90000
342,43,Male,Master's,Director of Marketing,18,170000
343,31,Female,Bachelor's,Junior Financial Analyst,3,50000
344,41,Male,Bachelor's,Senior Product Manager,14,150000
345,44,Female,PhD,Senior Data Engineer,16,160000
346,33,Male,Bachelor's,Junior Business Analyst,4,60000
347,35,Female,Bachelor's,Senior Marketing Analyst,8,85000
348,45,Male,Master's,Director of Engineering,19,180000
349,28,Female,Bachelor's,Junior Operations Manager,1,35000
350,36,Male,Bachelor's,Senior Business Development Manager,8,110000
351,44,Female,PhD,Senior Data Scientist,16,160000
352,31,Male,Bachelor's,Junior Marketing Coordinator,3,55000
353,38,Female,Bachelor's,Senior Business Analyst,10,110000
354,48,Male,Master's,Director of Marketing,21,180000
355,31,Female,Bachelor's,Junior Business Development Associate,3,50000
356,40,Male,Bachelor's,Senior Financial Analyst,12,130000
357,45,Female,PhD,Senior UX Designer,16,160000
358,33,Male,Bachelor's,Junior Product Manager,4,60000
359,36,Female,Bachelor's,Senior Marketing Manager,8,95000
360,47,Male,Master's,Director of Operations,19,170000
361,29,Female,Bachelor's,Junior Project Manager,2,40000
362,34,Male,Bachelor's,Senior Operations Coordinator,7,90000
363,44,Female,PhD,Senior Business Analyst,15,150000
364,33,Male,Bachelor's,Junior Marketing Specialist,5,70000
365,35,Female,Bachelor's,Senior Financial Manager,8,90000
366,43,Male,Master's,Director of Marketing,18,170000
367,31,Female,Bachelor's,Junior Financial Analyst,3,50000
368,41,Male,Bachelor's,Senior Product Manager,14,150000
369,44,Female,PhD,Senior Data Engineer,16,160000
370,33,Male,Bachelor's,Junior Business Analyst,4,60000
371,35,Female,Bachelor's,Senior Marketing Analyst,8,85000
372,43,Male,Master's,Director of Operations,19,170000
373,29,Female,Bachelor's,Junior Project Manager,2,40000
374,34,Male,Bachelor's,Senior Operations Coordinator,7,90000
375,44,Female,PhD,Senior Business Analyst,15,150000
376,31,Male,Master's,Data Scientist,6,160000
377,28,Female,Bachelor's,Software Engineer,3,125000
378,26,Male,Master's,Product Manager,2,120000
379,27,Female,Bachelor's,Data Analyst,2,110000
380,30,Male,PhD,Data Scientist,5,180000
381,29,Female,Bachelor's,Software Engineer,4,140000
382,32,Male,Bachelor's,Product Manager,7,170000
383,25,Female,Master's,Data Analyst,1,100000
384,33,Male,PhD,Data Scientist,8,190000
385,31,Female,Bachelor's,Software Engineer,6,155000
386,28,Male,Master's,Product Manager,3,130000
387,30,Female,Bachelor's,Data Analyst,5,145000
388,27,Male,PhD,Data Scientist,2,115000
389,29,Female,Bachelor's,Software Engineer,4,140000
390,34,Male,Bachelor's,Product Manager,9,185000
391,25,Female,Master's,Data Analyst,1,100000
392,33,Male,PhD,Data Scientist,8,190000
393,31,Female,Bachelor's,Software Engineer,6,155000
394,28,Male,Master's,Product Manager,3,130000
395,30,Female,Bachelor's,Data Analyst,5,145000
396,28,Male,Bachelor's,Software Engineer,3,125000
397,26,Female,Master's,Product Manager,2,120000
398,27,Male,Bachelor's,Data Analyst,2,110000
399,30,Female,PhD,Data Scientist,5,180000
400,29,Male,Bachelor's,Software Engineer,4,140000
401,32,Male,Bachelor's,Product Manager,7,170000
402,25,Female,Master's,Data Analyst,1,100000
403,33,Male,PhD,Data Scientist,8,190000
404,31,Female,Bachelor's,Software Engineer,6,155000
405,28,Male,Master's,Product Manager,3,130000
406,30,Female,Bachelor's,Data Analyst,5,145000
407,27,Male,PhD,Data Scientist,2,115000
408,29,Female,Bachelor's,Software Engineer,4,140000
409,34,Male,Bachelor's,Product Manager,9,185000
410,25,Female,Master's,Data Analyst,1,100000
411,33,Male,PhD,Data Scientist,8,190000
412,31,Female,Bachelor's,Software Engineer,6,155000
413,28,Male,Master's,Product Manager,3,130000
414,30,Female,Bachelor's,Data Analyst,5,145000
415,28,Male,Bachelor's,Software Engineer,3,125000
416,26,Female,Master's,Product Manager,2,120000
417,27,Male,Bachelor's,Data Analyst,2,110000
418,30,Female,PhD,Data Scientist,5,180000
419,29,Male,Bachelor's,Software Engineer,4,140000
420,32,Male,Bachelor's,Product Manager,7,170000
421,25,Female,Master's,Data Analyst,1,100000
422,33,Male,PhD,Data Scientist,8,190000
423,31,Female,Bachelor's,Software Engineer,6,155000
424,28,Male,Master's,Product Manager,3,130000
425,30,Female,Bachelor's,Data Analyst,5,145000
426,27,Male,PhD,Data Scientist,2,115000
427,29,Female,Bachelor's,Software Engineer,4,140000
428,34,Male,Bachelor's,Product Manager,9,185000
429,25,Female,Master's,Data Analyst,1,100000
430,33,Male,PhD,Data Scientist,8,190000
431,31,Female,Bachelor's,Software Engineer,6,155000
432,28,Male,Master's,Product Manager,3,130000
433,30,Female,Bachelor's,Data Analyst,5,145000
434,28,Male,Bachelor's,Software Engineer,3,125000
435,26,Female,Master's,Product Manager,2,120000
436,27,Male,Bachelor's,Data Analyst,2,110000
437,30,Female,PhD,Data Scientist,5,180000
438,29,Male,Bachelor's,Software Engineer,4,140000
439,32,Male,Bachelor's,Product Manager,7,170000
440,25,Female,Master's,Data Analyst,1,100000
441,33,Male,PhD,Data Scientist,8,190000
442,31,Female,Bachelor's,Software Engineer,6,155000
443,28,Male,Master's,Product Manager,3,130000
444,30,Female,Bachelor's,Data Analyst,5,145000
445,27,Male,PhD,Data Scientist,2,115000
446,29,Female,Bachelor's,Software Engineer,4,140000
447,34,Male,Bachelor's,Product Manager,9,185000
448,25,Female,Master's,Data Analyst,1,100000
449,33,Male,PhD,Data Scientist,8,190000
450,31,Female,Bachelor's,Software Engineer,6,155000
451,28,Male,Master's,Product Manager,3,130000
452,30,Female,Bachelor's,Data Analyst,5,145000
453,27,Male,PhD,Data Scientist,2,115000
454,29,Female,Bachelor's,Software Engineer,4,140000
455,34,Male,Bachelor's,Product Manager,9,185000
456,25,Female,Master's,Data Analyst,1,100000
457,33,Male,PhD,Data Scientist,8,190000
458,31,Female,Bachelor's,Software Engineer,6,155000
459,28,Male,Master's,Product Manager,3,130000
460,30,Female,Bachelor's,Data Analyst,5,145000
461,28,Male,Bachelor's,Software Engineer,3,125000
462,26,Female,Master's,Product Manager,2,120000
463,27,Male,Bachelor's,Data Analyst,2,110000
464,30,Female,PhD,Data Scientist,5,180000
465,29,Male,Bachelor's,Software Engineer,4,140000
466,32,Male,Bachelor's,Product Manager,7,170000
467,25,Female,Master's,Data Analyst,1,100000
468,33,Male,PhD,Data Scientist,8,190000
469,31,Female,Bachelor's,Software Engineer,6,155000
470,28,Male,Master's,Product Manager,3,130000
471,30,Female,Bachelor's,Data Analyst,5,145000
472,27,Male,PhD,Data Scientist,2,115000
473,29,Female,Bachelor's,Software Engineer,4,140000
474,34,Male,Bachelor's,Product Manager,9,185000
475,25,Female,Master's,Data Analyst,1,100000
476,33,Male,PhD,Data Scientist,8,190000
477,31,Female,Bachelor's,Software Engineer,6,155000
478,28,Male,Master's,Product Manager,3,130000
479,30,Female,Bachelor's,Data Analyst,5,145000
480,27,Male,PhD,Data Scientist,2,115000
481,29,Female,Bachelor's,Software Engineer,4,140000
482,34,Male,Bachelor's,Product Manager,9,185000
483,25,Female,Master's,Data Analyst,1,100000
484,33,Male,PhD,Data Scientist,8,190000
485,31,Female,Bachelor's,Software Engineer,6,155000
486,28,Male,Master's,Product Manager,3,130000
487,30,Female,Bachelor's,Data Analyst,5,145000
488,27,Male,PhD,Data Scientist,2,115000
489,29,Female,Bachelor's,Software Engineer,4,140000
490,34,Male,Bachelor's,Product Manager,9,185000
491,25,Female,Master's,Data Analyst,1,100000
492,33,Male,PhD,Data Scientist,8,190000
493,31,Female,Bachelor's,Software Engineer,6,155000
494,28,Male,Master's,Product Manager,3,130000
495,30,Female,Bachelor's,Data Analyst,5,145000
496,27,Male,PhD,Data Scientist,2,115000
497,29,Female,Bachelor's,Software Engineer,4,140000
498,34,Male,Bachelor's,Product Manager,9,185000
499,25,Female,Master's,Data Analyst,1,100000
500,33,Male,PhD,Data Scientist,8,190000
501,31,Female,Bachelor's,Software Engineer,6,155000
502,28,Male,Master's,Product Manager,3,130000
503,30,Female,Bachelor's,Data Analyst,5,145000
504,27,Male,PhD,Data Scientist,2,115000
505,29,Female,Bachelor's,Software Engineer,4,140000
506,34,Male,Bachelor's,Product Manager,9,185000
507,26,Male,Bachelor's,Data Analyst,3,130000
508,29,Female,Master's,Data Scientist,6,180000
509,32,Male,Bachelor's,Software Engineer,8,190000
510,27,Female,Bachelor's,Product Manager,4,150000
511,24,Male,Bachelor's,Data Analyst,1,90000
512,31,Female,Master's,Data Scientist,9,195000
513,28,Male,Bachelor's,Software Engineer,5,160000
514,33,Female,Master's,Product Manager,11,198000
515,25,Male,Bachelor's,Data Analyst,2,110000
516,30,Female,PhD,Data Scientist,7,185000
517,27,Male,Bachelor's,Software Engineer,4,140000
518,34,Female,Master's,Product Manager,12,196000
519,23,Male,Bachelor's,Data Analyst,1,95000
520,32,Female,PhD,Data Scientist,10,193000
521,29,Male,Bachelor's,Software Engineer,6,175000
522,30,Female,Bachelor's,Product Manager,5,160000
523,26,Male,Bachelor's,Data Analyst,3,130000
524,31,Female,Master's,Data Scientist,6,180000
525,28,Male,Bachelor's,Software Engineer,5,160000
526,33,Female,Master's,Product Manager,11,198000
527,24,Male,Bachelor's,Data Analyst,1,90000
528,30,Female,PhD,Data Scientist,7,185000
529,27,Male,Bachelor's,Software Engineer,4,140000
